SDP_Id,MSISDN_START,MSISDN_END
meylvvmsdp06a,44016400,44016499
meylvvmsdp06a,44016500,44016599
meylvvmsdp06a,44016600,44016699
meylvvmsdp06a,44016700,44016799
meylvvmsdp06a,44016800,44016899
meylvvmsdp06a,44016900,44016999
meylvvmsdp06a,44017000,44017099
meylvvmsdp06a,44017100,44017199
meylvvmsdp06a,44017200,44017299
meylvvmsdp06a,44017300,44017399
meylvvmsdp06a,44017400,44017499
meylvvmsdp06a,44017500,44017599
meylvvmsdp06a,44017600,44017699
meylvvmsdp06a,44017700,44017799
meylvvmsdp06a,44017800,44017899
meylvvmsdp06a,44017900,44017999
meylvvmsdp06a,44018000,44018099
meylvvmsdp06a,44018100,44018199
meylvvmsdp06a,44018200,44018299
meylvvmsdp06a,44018300,44018399
meylvvmsdp06a,44018400,44018499
meylvvmsdp06a,44018500,44018599
meylvvmsdp06a,44018600,44018699
meylvvmsdp06a,44018700,44018799
meylvvmsdp06a,44018800,44018899
meylvvmsdp06a,44018900,44018999
meylvvmsdp06a,44019000,44019099
meylvvmsdp06a,44019100,44019199
meylvvmsdp06a,44019200,44019299
meylvvmsdp06a,44019300,44019399
meylvvmsdp06a,44019400,44019499
meylvvmsdp06a,44019500,44019599
meylvvmsdp06a,44019600,44019699
meylvvmsdp06a,44019700,44019799
meylvvmsdp06a,44019800,44019899
meylvvmsdp06a,44019900,44019999
meylvvmsdp06a,44020000,44020099
meylvvmsdp06a,44020100,44020199
meylvvmsdp06a,44020200,44020299
meylvvmsdp06a,44020300,44020399
meylvvmsdp06a,44020400,44020499
meylvvmsdp06a,44020500,44020599
meylvvmsdp06a,44020600,44020699
meylvvmsdp06a,44020700,44020799
meylvvmsdp06a,44020800,44020899
meylvvmsdp06a,44020900,44020999
meylvvmsdp06a,44021000,44021099
meylvvmsdp06a,44021100,44021199
meylvvmsdp06a,44021200,44021299
meylvvmsdp06a,44021300,44021399
meylvvmsdp06a,44021400,44021499
meylvvmsdp06a,44021500,44021599
meylvvmsdp06a,44021600,44021699
meylvvmsdp06a,44021700,44021799
meylvvmsdp06a,44021800,44021899
meylvvmsdp06a,44021900,44021999
meylvvmsdp06a,44022000,44022099
meylvvmsdp06a,44022100,44022199
meylvvmsdp06a,44022200,44022299
meylvvmsdp06a,44022300,44022399
meylvvmsdp06a,44022400,44022499
meylvvmsdp06a,44022500,44022599
meylvvmsdp06a,44022600,44022699
meylvvmsdp06a,44022700,44022799
meylvvmsdp06a,44022800,44022899
meylvvmsdp06a,44022900,44022999
meylvvmsdp06a,44023000,44023099
meylvvmsdp06a,44023100,44023199
meylvvmsdp06a,44023200,44023299
meylvvmsdp06a,44023300,44023399
meylvvmsdp06a,44023400,44023499
meylvvmsdp06a,44023500,44023599
meylvvmsdp06a,44023600,44023699
